Variable,n,Mean,SEM,SD,Min,Max
Water Temperature (°C),986198,20.025993437828927,0.005361598780331333,5.3244698285675565,10.2362,29.8794
Salinity (PSU),986198,36.782187995257544,5.465360001980983e-4,0.5427512506075538,26.237192,37.772457
Dissolved Oxygen Concentration (µmol/L),676279,161.17283480782342,0.02845739056464016,23.402272137479688,0,197.165
